2018-5540	20h18m01s	-55d39m34s	9945	NaN	23.2	1670.4	0.464	0.06063	NaN	0.000023	70	181	79	681	816	500
2019-5254	20h19m01s	-52d54m21s	9945	9437	3.5	420	0.116666667	0.04938	0.0000354	0.0000345	100	72	5	200	135	50
2023-5405	20h22m59s	-54d05m14s	9945	9351	2.8	336	0.093333333	NaN	0.000042	0.0000345	100	40	31	136	107	NaN
2025-5405	20h25m05s	-54d04m2s	9945	9351	6.4	768	0.213333333	0.099089	0.0000417	0.0000317	100	116	99	316	335	250
2027-5519	20h27m14s	-55d18m46s	9945	9351	3.3	396	0.11	NaN	0.0000556	0.0000307	100	49	45	152	160	NaN
2027-5522	20h26m45s	-55d22m28s	9945	9351	2.59	310.8	0.086333333	0.0613605	0.0000556	0.0000307	100	36	38	121	123	50
2041-5258	20h41m12s	-52d57m39s	9945	9287	6.3	756	0.21	0.048013	0.0000434	0.0000341	100	66	130	290	370	100
2043-5059	20h43m07s	-50d59m02s	9962	9287	3.65	438	0.121666667	0.065429	0.000066	0.000065	80	28	38	175	206	100
2044-5340	20h44m54s	-53d39m50s	9945	9351	4.3	516	0.143333333	NaN	0.0000358	0.000031	100	57	110	238	180	NaN
2046-5107	20h45m53s	-51d07m11s	9962	9287	12.7	1524	0.423333333	0.048497	0.0000395	0.0000349	80	215	120	455	565	200
2052-5246	20h52m04s	-52d46m19s	9962	9975	6.6	792	0.22	0.046359	0.0000342	0.0000537	100	113	96	364	341	100
2052-5704	20h51m40s	-57d04m32s	9972	9351	20.3	2436	0.676666667	0.060215	0.000122	0.0000717	100	480	290	812	1000	250
2058-4838	20h58m10s	-48d37m49s	9962	9287	20.7	2484	0.69	0.017475	0.0000383	0.0000496	100	440	600	960	780	100
2059-5757	20h58m38s	-57d56m37s	9992	9410	0.47	360	0.1	0.05242	0.0000638	0.0000414	100	50	50	130	130	50
2104-4901	21h03m45s	-49d01m47s	9983	9287	7.86	943.2	0.262	0.02452	0.0000333	0.0000356	100	145	113	350	370	100
2122-5600	21h22m22s	-56d01m00s	10007	9442	3.63	435.6	0.121	0.051796	0.0000279	0.0000302	100	14	7	217	200	100
2128-5751	21h28m28s	-57d51m29s	9992	9410	6.1	732	0.203333333	NaN	0.0000484	0.0000426	100	152	71	241	293	NaN
2129-5053	21h29m19s	-50d53m03s	10168	9434	3.7	444	0.123333333	0.079989	0.000032	0.0000834	150	30	90	210	220	100
2129-5801	21h29m03s	-58d01m00s	9992	9410	3.75	450	0.125	NaN	0.0000484	0.0000426	100	91	57	154	187	NaN
2134-5250	21h35m03s	-52d50m19s	10007	9434	5	600	0.166666667	NaN	0.0000281	0.0000305	100	62	96	240	230	NaN
2134-5318	21h33m39s	-53d18m09s	10007	9442	3.24	388.8	0.108	0.075102	0.00004	0.0000296	100	54	30	152	157	50
2134-5336	21h34m08s	-53d36m11s	10007	9442	6.54	784.8	0.218	0.078571	0.0000506	0.0000309	80	75	82	330	320	200
2136-5514	21h36m10s	-55d13m40s	10007	9442	3.44	412.8	0.114666667	NaN	0.0000391	0.0000321	80	55	49	181	177	NaN
2136-6125	21h36m56s	-61d23m18s	NaN	9501	11.7	1404	0.39	NaN	0.000039	NaN	100	211	153	491	546	NaN
2140-5123	21h39m30s	-51d23m44s	10168	9434	2.5	300	0.083333333	0.075732	0.000027	0.0000575	100	19	42	113	130	100
2143-6128	21h43m04s	-61d28m03s	NaN	9501	7.35	882	0.245	NaN	0.0000349	NaN	100	89	95	277	366	NaN
2144-5637	21h44m00s	-56d37m21s	10040	10083	4.58	549.6	0.152666667	0.081943	0.0000309	0.0000598	150	38	32	240	243	100
2148-5714	21h48m24s	-57d13m51s	10035	10083	7.7	924	0.256666667	0.080639	0.0000327	NaN	100	120	120	380	430	100
2148-5821	21h47m58s	-58d21m09s	10035	10083	4.9	588	0.163333333	NaN	0.000038	NaN	100	94	55	221	229	NaN
2150-4904	21h50m29s	-49d03m47s	10168	9434	10	1200	0.333333333	0.099139	0.0000377	0.0000643	40	246	106	412	467	200
2150-6211	21h50m18s	-62d11m05s	NaN	9501	7.55	906	0.251666667	NaN	0.0000304	NaN	100	71	155	435	350	NaN
2151-5520	21h51m29s	-55d20m18s	10040	10083	15.1	1812	0.503333333	0.038783	0.0000302	0.0000368	40	337	175	610	720	100
2151-5741	21h50m58s	-57d40m45s	10035	10083	9.2	1104	0.306666667	NaN	0.0000307	NaN	100	132	200	456	459	NaN
2154-5029	21h53m36s	-50d28m54s	10043	10635	2	240	0.066666667	NaN	0.0000327	0.0000519	100	25	40	100	90	NaN
2155-5909	21h55m13s	-59d09m03s	NaN	9501	5.4	648	0.18	0.109497	0.0000232	NaN	100	40	75	315	230	100
2200-5611	22h00m24s	-56d10m42s	10040	10083	2.62	314.4	0.087333333	0.075776	0.0000317	0.0000347	50	20	25	120	120	100
2202-5453 	22h02m20s	-54d52m52s	10040	10083	4	480	0.133333333	NaN	0.0000829	0.0000339	150	69	61	176	231	NaN
