#Source	RA	Dec	POSSUM SB	EMU SB	LAS	FOV	Redshift
2018-5540	20h18m01s	-55d39m34s	9945	N/A	23.2	2784	0.06063
2019-5254	20h19m01s	-52d54m21s	9945	9437	3.5	420	0.04938
2023-5405	20h22m59s	-54d05m14s	9945	9351	2.8	336	NaN
2025-5405	20h25m05s	-54d04m2s	9945	9351	6.4	768	NaN
2027-5519	20h27m14s	-55d18m46s	9945	9351	3.3	396	NaN
2027-5522	20h26m45s	-55d22m28s	9945	9351	2.59	310.8	0.0613605
2041-5258	20h41m12s	-52d57m39s	9945	9287	6.3	756	0.048013
2043-5059	20h43m07s	-50d59m02s	9962	9287	3.65	438	0.065429
2044-5340	20h44m54s	-53d39m50s	9945	9351	4.3	516	NaN
2046-5107	20h45m53s	-51d07m11s	9962	9287	12.7	1524	0.048497
2052-5246	20h52m04s	-52d46m19s	9962	9975	6.6	792	0.046359
2052-5704	20h51m40s	-57d04m32s	9972	9351	20.3	2436	0.060215
2058-4838	20h58m10s	-48d37m49s	9962	9287	20.7	2484	0.017475
2059-5757	20h58m38s	-57d56m37s	9992	9410	0.47	56.4	0.05242
2104-4901	21h03m45s	-49d01m47s	9983	9287	7.86	943.2	0.02452
2122-5600	21h22m33s	-56d00m14s	10007	9442	3.63	435.6	0.051796
2128-5751	21h28m28s	-57d51m29s	9992	9410	6.1	732	NaN
2129-5053	21h29m19s	-50d53m03s	10168	9434	3.7	444	0.079989
2129-5801	21h29m03s	-58d01m00s	9992	9410	3.75	450	NaN
2134-5250	21h35m03s	-52d50m19s	10007	9434	5	600	NaN
2134-5318	21h33m39s	-53d18m09s	10007	9442	3.24	388.8	0.075102
2134-5336	21h34m08s	-53d36m11s	10007	9442	6.54	784.8	0.078571
2136-5514	21h36m10s	-55d13m40s	10007	9442	3.44	412.8	NaN
2136-6125	21h36m56s	-61d23m18s	N/A	9501	11.7	1404	NaN
2140-5123	21h39m30s	-51d23m44s	10168	9434	2.5	300	0.075732
2143-6128	21h43m04s	-61d28m03s	N/A	9501	7.35	882	NaN
2144-5637	21h44m00s	-56d37m21s	10040	10083	4.58	549.6	0.081943
2148-5714	21h48m24s	-57d13m51s	10035	10083	7.7	924	0.080639
2148-5821	21h47m58s	-58d21m09s	10035	10083	4.9	588	NaN
2150-4904	21h50m29s	-49d03m47s	10168	9434	10	1200	0.099139
2150-6211	21h50m18s	-62d11m05s	N/A	9501	7.55	906	NaN
2151-5520	21h51m29s	-55d20m18s	10040	10083	15.1	1812	0.038783
2151-5741	21h50m58s	-57d40m45s	10035	10083	9.2	1104	NaN
2154-5029	21h53m36s	-50d28m54s	10043	10635	2	240	NaN
2155-5909	21h55m13s	-59d09m03s	N/A	9501	5.4	648	0.109497
2200-5611	22h00m24s	-56d10m42s	10040	10083	2.62	314.4	0.075776
2202-5453 	22h02m20s	-54d52m52s	10040	10083	4	480	NaN
