20h18m01s	-55d39m34s
20h19m01s	-52d54m21s
20h22m59s	-54d05m14s
20h25m05s	-54d04m2s
20h27m14s	-55d18m46s
20h26m45s	-55d22m28s
20h41m12s	-52d57m39s
20h43m07s	-50d59m02s
20h44m54s	-53d39m50s
20h45m53s	-51d07m11s
20h52m04s	-52d46m19s
20h51m40s	-57d04m32s
20h58m10s	-48d37m49s
20h58m38s	-57d56m37s
21h03m45s	-49d01m47s
21h22m22s	-56d01m00s
21h28m28s	-57d51m29s
21h29m19s	-50d53m03s
21h29m03s	-58d01m00s
21h35m03s	-52d50m19s
21h33m39s	-53d18m09s
21h34m08s	-53d36m11s
21h36m10s	-55d13m40s
21h36m56s	-61d23m18s
21h39m30s	-51d23m44s
21h43m04s	-61d28m03s
21h44m00s	-56d37m21s
21h48m24s	-57d13m51s
21h47m58s	-58d21m09s
21h50m29s	-49d03m47s
21h50m18s	-62d11m05s
21h51m29s	-55d20m18s
21h50m58s	-57d40m45s
21h53m36s	-50d28m54s
21h55m13s	-59d09m03s
22h00m24s	-56d10m42s
22h02m20s	-54d52m52s
